City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Fairbanks,1,US,1617714199,76,64.8378,-147.7164,-5.01,3.44
Barreirinhas,12,BR,1617714043,62,-2.7469,-42.8264,85.42,8.79
Ketchikan,100,US,1617714200,97,55.3422,-131.6461,38.66,3.96
Puerto Escondido,40,MX,1617714200,83,15.85,-97.0667,75.2,6.91
Ixtapa,20,MX,1617714200,88,20.7,-105.2,68.0,3.38
San Juan Evangelista,75,MX,1617714201,94,17.9,-95.1333,78.8,3.51
Ribeira Grande,40,PT,1617714201,72,38.5167,-28.7,66.2,18.41
Mar del Plata,90,AR,1617714157,100,-38.0023,-57.5575,72.0,6.91
Prince Rupert,90,CA,1617714004,93,54.3161,-130.3201,39.2,6.91
Ushuaia,40,AR,1617714034,53,-54.8,-68.3,48.2,12.66
Mangan,50,IN,1617714202,41,27.5167,88.5333,70.74,2.06
Springdale,1,US,1617714138,94,36.1867,-94.1288,63.0,5.75
Souillac,40,MU,1617714202,70,-20.5167,57.5167,86.0,8.05
Avarua,40,CK,1617714203,74,-21.2078,-159.775,80.6,13.8
Maragogi,100,BR,1617714203,60,-9.0122,-35.2225,83.35,9.08
Cabo San Lucas,1,MX,1617714001,26,22.8909,-109.9124,71.6,9.22
Cape Town,0,ZA,1617714203,41,-33.9258,18.4232,78.01,8.05
Asău,100,RO,1617714204,18,46.4333,26.4,60.01,7.27
Aksarka,44,RU,1617714204,92,66.5606,67.7975,26.02,10.27
Mporokoso,68,ZM,1617714204,77,-9.3727,30.125,72.63,5.99
Rikitea,100,PF,1617714205,73,-23.1203,-134.9692,77.27,13.8
Lucea,20,JM,1617714205,73,18.451,-78.1736,81.0,16.11
Saint-Philippe,55,RE,1617714206,70,-21.3585,55.7679,84.2,11.5
Lüderitz,0,NA,1617714206,61,-26.6481,15.1594,72.07,21.56
Barrow,20,US,1617714206,71,71.2906,-156.7887,-7.6,6.91
Porto Santo,20,PT,1617714207,68,33.072,-16.3415,66.2,10.36
Poya,100,NC,1617714207,77,-21.35,165.15,72.66,6.13
São José da Coroa Grande,100,BR,1617714207,61,-8.8978,-35.1478,83.3,8.93
Wad Medani,9,SD,1617714208,3,14.4012,33.5199,102.42,8.68
Gamba,100,GA,1617714113,72,-2.65,10.0,83.46,10.29
Upernavik,100,GL,1617714208,92,72.7868,-56.1549,12.22,8.59
Puerto Ayora,17,EC,1617714209,95,-0.7393,-90.3518,75.0,5.68
New Norfolk,20,AU,1617714209,76,-42.7826,147.0587,57.99,1.01
Saraland,20,US,1617714209,100,30.8207,-88.0706,62.6,5.75
Borjomi,99,GE,1617714210,70,41.8527,43.4128,54.84,4.07
Leningradskiy,99,RU,1617714210,98,69.3833,178.4167,-15.34,5.28
Port Alfred,100,ZA,1617714210,75,-33.5906,26.891,65.8,17.43
Saint-Joseph,52,RE,1617714210,70,-21.3667,55.6167,84.2,11.5
Butaritari,100,KI,1617714211,77,3.0707,172.7902,78.49,8.39
Cherskiy,47,RU,1617714211,100,68.75,161.3,-26.55,3.2
Vao,61,NC,1617714211,71,-22.6667,167.4833,75.52,23.73
Alta Floresta,100,BR,1617714212,84,-9.8756,-56.0861,78.22,1.68
Chui,0,UY,1617714212,71,-33.6971,-53.4616,73.92,7.2
Thompson,90,CA,1617714212,93,55.7435,-97.8558,28.4,12.66
Kenai,1,US,1617714213,66,60.5544,-151.2583,8.6,8.32
Bethel,1,US,1617714062,37,41.3712,-73.414,48.2,3.44
Hakkâri Province,75,TR,1617714213,30,37.5833,44.1667,57.2,16.11
Sooke,68,CA,1617714214,86,48.3746,-123.7276,42.8,11.5
Tuktoyaktuk,100,CA,1617714214,98,69.4541,-133.0374,-6.61,10.36
Bredasdorp,100,ZA,1617714214,53,-34.5322,20.0403,73.4,18.41
Kapaa,40,US,1617714214,64,22.0752,-159.319,73.4,19.57
Ipirá,66,BR,1617714215,50,-12.1583,-39.7372,84.31,8.66
Port Elizabeth,90,ZA,1617714202,77,-33.918,25.5701,66.2,14.97
Ilulissat,75,GL,1617714215,79,69.2167,-51.1,21.2,9.22
Mataura,92,NZ,1617714216,87,-46.1927,168.8643,54.0,11.01
Koumac,100,NC,1617714216,78,-20.5667,164.2833,74.73,6.96
Busselton,80,AU,1617714216,84,-33.65,115.3333,65.8,4.9
George Town,40,MY,1617714094,83,5.4112,100.3354,82.4,5.75
Kasongo-Lunda,100,CD,1617714134,64,-6.4667,16.8167,83.55,1.72
